protocol,workload,round_id,sample_id,token,latency_ms
mosh,interactive_shell,1,3,__W3TOK__mosh__interactive_shell__r1__s3__GV0E38DA__,483.972592
mosh,interactive_shell,1,4,__W3TOK__mosh__interactive_shell__r1__s4__LY8OZCYW__,595.846210
mosh,interactive_shell,1,5,__W3TOK__mosh__interactive_shell__r1__s5__D14VE92M__,544.751103
mosh,vim,0,1,__W3TOK__mosh__vim__r0__s1__PNSM43D8__,421.180983
mosh,vim,0,2,__W3TOK__mosh__vim__r0__s2__W3ZP08J3__,374.543844
mosh,vim,0,3,__W3TOK__mosh__vim__r0__s3__TRP0J43D__,411.601609
mosh,vim,0,4,__W3TOK__mosh__vim__r0__s4__5IQVNB4G__,507.883085
mosh,vim,0,5,__W3TOK__mosh__vim__r0__s5__H2M5ZJA8__,322.101691
mosh,vim,1,1,__W3TOK__mosh__vim__r1__s1__DZR1YXR2__,614.443714
mosh,vim,1,2,__W3TOK__mosh__vim__r1__s2__DHYLURTP__,555.239943
mosh,vim,1,3,__W3TOK__mosh__vim__r1__s3__0LZJJEGE__,361.015984
mosh,vim,1,4,__W3TOK__mosh__vim__r1__s4__T1GHR09S__,509.686819
mosh,vim,1,5,__W3TOK__mosh__vim__r1__s5__KDGIGATJ__,480.537015
mosh,nano,0,1,__W3TOK__mosh__nano__r0__s1__9TZE5R5U__,52.018110
mosh,nano,1,1,__W3TOK__mosh__nano__r1__s1__XFGCAQVK__,352.395142
mosh,nano,1,3,__W3TOK__mosh__nano__r1__s3__X7PTX63C__,54.316547
mosh,nano,1,5,__W3TOK__mosh__nano__r1__s5__7SRCBPLJ__,53.324833
